# Hierarchy: NH Interactions: LNC+LNV M1: 1 DM/M: -8.2 y: -5.9 theta: 1.2 delta: 3.1 phi: 5.2
# t asym mu_e mu_mu mu_tau r11 r22 Re(r12) Im(r12) rb11 rb22 Re(rb12) Im(r12) Smooth-Sphaleron-Asym
5.67429e-06 3.00154e-27 1.48462e-21 1.04347e-20 -1.1917e-20 0.000208872 0.000210183 -1.68633e-06 0.000209512 0.000208872 0.000210183 -1.68633e-06 -0.000209512 0
5.93103e-06 2.83817e-27 1.71551e-21 1.20574e-20 -1.37706e-20 0.000218342 0.000219713 -1.76279e-06 0.000219011 0.000218342 0.000219713 -1.76279e-06 -0.000219011 0
6.19034e-06 2.67058e-27 1.97391e-21 1.38733e-20 -1.58451e-20 0.000227909 0.00022934 -1.84003e-06 0.000228608 0.000227909 0.00022934 -1.84003e-06 -0.000228608 0
6.45225e-06 2.36044e-27 2.26166e-21 1.58955e-20 -1.81553e-20 0.000237573 0.000239065 -1.91806e-06 0.000238301 0.000237573 0.000239065 -1.91805e-06 -0.000238301 0
6.71677e-06 2.29627e-27 2.58148e-21 1.8144e-20 -2.07237e-20 0.000247336 0.000248888 -1.99687e-06 0.000248093 0.000247336 0.000248888 -1.99687e-06 -0.000248093 0
6.98394e-06 1.7586e-27 2.93644e-21 2.06387e-20 -2.35737e-20 0.000257197 0.000258812 -2.07649e-06 0.000257985 0.000257197 0.000258812 -2.07649e-06 -0.000257985 0
7.25377e-06 8.78998e-28 3.32945e-21 2.34007e-20 -2.67294e-20 0.000267159 0.000268836 -2.15692e-06 0.000267978 0.000267159 0.000268836 -2.15692e-06 -0.000267978 0
7.52631e-06 -7.00749e-28 3.76375e-21 2.64527e-20 -3.0217e-20 0.000277222 0.000278962 -2.23816e-06 0.000278071 0.000277222 0.000278962 -2.23816e-06 -0.000278071 0
7.80158e-06 -2.20424e-27 4.24342e-21 2.98233e-20 -3.40684e-20 0.000287387 0.000289192 -2.32023e-06 0.000288268 0.000287387 0.000289192 -2.32023e-06 -0.000288268 0
8.07959e-06 -3.99096e-27 4.7708e-21 3.3529e-20 -3.8303e-20 0.000297656 0.000299525 -2.40314e-06 0.000298568 0.000297656 0.000299525 -2.40314e-06 -0.000298568 0
8.36039e-06 -4.73626e-27 5.35019e-21 3.76003e-20 -4.29543e-20 0.000308029 0.000309963 -2.48688e-06 0.000308973 0.000308029 0.000309963 -2.48688e-06 -0.000308973 0
8.64399e-06 -6.85375e-27 5.98584e-21 4.20672e-20 -4.80584e-20 0.000318508 0.000320508 -2.57148e-06 0.000319484 0.000318508 0.000320508 -2.57148e-06 -0.000319484 0
8.93043e-06 -9.4958e-27 6.68219e-21 4.69603e-20 -5.36501e-20 0.000329093 0.000331159 -2.65694e-06 0.000330102 0.000329093 0.000331159 -2.65694e-06 -0.000330102 0
9.21974e-06 -1.22092e-26 7.44467e-21 5.23181e-20 -5.97725e-20 0.000339786 0.000341919 -2.74327e-06 0.000340827 0.000339786 0.000341919 -2.74327e-06 -0.000340827 0
9.51193e-06 -1.47563e-26 8.27705e-21 5.81674e-20 -6.64562e-20 0.000350587 0.000352788 -2.83048e-06 0.000351662 0.000350587 0.000352788 -2.83048e-06 -0.000351662 0
9.80705e-06 -1.80138e-26 9.18507e-21 6.4548e-20 -7.37473e-20 0.000361499 0.000363768 -2.91857e-06 0.000362606 0.000361499 0.000363768 -2.91857e-06 -0.000362606 0
1.01051e-05 -2.10813e-26 1.01744e-20 7.15016e-20 -8.16927e-20 0.000372521 0.00037486 -3.00756e-06 0.000373662 0.000372521 0.00037486 -3.00756e-06 -0.000373662 0
1.04062e-05 -2.45306e-26 1.12512e-20 7.90711e-20 -9.03417e-20 0.000383655 0.000386064 -3.09745e-06 0.000384831 0.000383655 0.000386064 -3.09745e-06 -0.000384831 0
1.07102e-05 -2.5895e-26 1.24222e-20 8.73012e-20 -9.97439e-20 0.000394903 0.000397382 -3.18826e-06 0.000396113 0.000394903 0.000397382 -3.18826e-06 -0.000396113 0
1.10173e-05 -2.68168e-26 1.36942e-20 9.62405e-20 -1.09956e-19 0.000406265 0.000408815 -3.27999e-06 0.000407509 0.000406265 0.000408815 -3.27999e-06 -0.000407509 0
1.13275e-05 -2.84468e-26 1.50744e-20 1.0594e-19 -1.21037e-19 0.000417742 0.000420364 -3.37265e-06 0.000419022 0.000417742 0.000420364 -3.37265e-06 -0.000419022 0
1.16408e-05 -3.11941e-26 1.65705e-20 1.16454e-19 -1.33049e-19 0.000429336 0.000432031 -3.46626e-06 0.000430651 0.000429336 0.000432031 -3.46626e-06 -0.000430651 0
